# id|name|longitude|latitude|region|grade|source
# Grade C = coverage only. Never use these rows for signal-state/countdown estimation.
# Data: © OpenStreetMap contributors, ODbL 1.0; snapshot 2026-09-20.
C-NTPC-OSM-1213096014|學成路　國學街|121.3736160|24.9412104|NTPC|C|OSM
C-NTPC-OSM-3156766273|三樹路　前方號誌|121.3788609|24.9415062|NTPC|C|OSM
C-NTPC-OSM-2082869812|坪林專用道　坪林交流道|121.7125962|24.9417567|NTPC|C|OSM
C-NTPC-OSM-3048965947|中正三路　高職東街|121.3390016|24.9420386|NTPC|C|OSM
C-NTPC-OSM-187377837|坪林交流道　坪林專用道|121.7133511|24.9420953|NTPC|C|OSM
C-NTPC-OSM-1213095844|國學街　國際一街|121.3729728|24.9422480|NTPC|C|OSM
C-NTPC-OSM-13785157889|安泰路　前方號誌|121.4869377|24.9425262|NTPC|C|OSM
C-NTPC-OSM-1213095859|學成路　大學路|121.3754488|24.9427289|NTPC|C|OSM
C-NTPC-OSM-13785157864|安泰路　前方號誌|121.4866343|24.9430215|NTPC|C|OSM
C-NTPC-OSM-12017548901|安一路三段　前方號誌|121.4871130|24.9430658|NTPC|C|OSM
C-NTPC-OSM-4425725074|介壽路三段　介壽路三段185巷|121.4008021|24.9430731|NTPC|C|OSM
C-NTPC-OSM-325705977|中正二路　中正三路|121.3396225|24.9433517|NTPC|C|OSM
C-NTPC-OSM-1213095830|大義路　佳園路三段|121.3792225|24.9434830|NTPC|C|OSM
C-NTPC-OSM-1213095824|大德路　學成路|121.3767239|24.9437628|NTPC|C|OSM
C-NTPC-OSM-3329792529|介壽路三段172巷　介壽路三段|121.4022815|24.9439736|NTPC|C|OSM
C-NTPC-OSM-1213095819|大雅路　佳園路三段|121.3808480|24.9439816|NTPC|C|OSM
C-NTPC-OSM-2412738104|佳園路三段　大成路|121.3827200|24.9441114|NTPC|C|OSM
C-NTPC-OSM-2555246830|隆恩街　隆恩街人行道（極狹）|121.3665024|24.9444653|NTPC|C|OSM
C-NTPC-OSM-2837619932|介壽路三段　介壽路三段200巷|121.4031418|24.9445032|NTPC|C|OSM
C-NTPC-OSM-1213095832|學成路　大義路|121.3784607|24.9447707|NTPC|C|OSM
C-NTPC-OSM-1315697778|尖山路　國中路|121.3416125|24.9453743|NTPC|C|OSM
C-NTPC-OSM-1213095823|大學路　學勤路|121.3733959|24.9454344|NTPC|C|OSM
C-NTPC-OSM-1213095914|大雅路　學成路|121.3802854|24.9456005|NTPC|C|OSM
C-NTPC-OSM-2680181775|文化路　環河路|121.3525439|24.9456668|NTPC|C|OSM
C-NTPC-OSM-2412084519|大觀路　學勤路|121.3742844|24.9459256|NTPC|C|OSM
C-NTPC-OSM-1470557255|安康路三段　錦秀路|121.4789861|24.9459817|NTPC|C|OSM
C-NTPC-OSM-1213095983|學成路　大成路|121.3822324|24.9461943|NTPC|C|OSM
C-NTPC-OSM-2412084518|大德路　學勤路|121.3751250|24.9463401|NTPC|C|OSM
C-NTPC-OSM-1956837959|學成路　佳園路三段|121.3850396|24.9466150|NTPC|C|OSM
C-NTPC-OSM-9565718510|安一路三段　和成街|121.4898150|24.9466801|NTPC|C|OSM
C-NTPC-OSM-3420796993|尖山路　前方號誌|121.3435304|24.9469348|NTPC|C|OSM
C-NTPC-OSM-315535946|介壽路三段　前方號誌|121.4061145|24.9470401|NTPC|C|OSM
C-NTPC-OSM-2412084516|大義路　學勤路|121.3771962|24.9472089|NTPC|C|OSM
C-NTPC-OSM-3419384107|尖山路　尖山路174巷35弄|121.3441807|24.9472477|NTPC|C|OSM
C-NTPC-OSM-325705961|尖山路　尖山路173巷|121.3449001|24.9476290|NTPC|C|OSM
C-NTPC-OSM-1213095916|大雅路　學勤路|121.3794774|24.9479636|NTPC|C|OSM
C-NTPC-OSM-3074865252|尖山路　尖山路166巷|121.3455892|24.9480049|NTPC|C|OSM
C-NTPC-OSM-9404139394|中正二路　尖山埔路|121.3415040|24.9481078|NTPC|C|OSM
C-NTPC-OSM-1213095857|學林路　大義路|121.3766227|24.9484346|NTPC|C|OSM
C-NTPC-OSM-2412084513|大有路　學勤路|121.3837709|24.9486811|NTPC|C|OSM
C-NTPC-OSM-3074865256|尖山路　尖山路137巷|121.3468360|24.9486845|NTPC|C|OSM
C-NTPC-OSM-2412084510|佳園路三段　學勤路|121.3853600|24.9487165|NTPC|C|OSM
C-NTPC-OSM-3410557699|文化路　文化路226巷|121.3528344|24.9487453|NTPC|C|OSM
C-NTPC-OSM-1702738824|永業路　華潭街|121.5292178|24.9490757|NTPC|C|OSM
C-NTPC-OSM-2069263820|擺接堡路　中央路四段|121.4077815|24.9494982|NTPC|C|OSM
C-NTPC-OSM-2680173344|大義路　學府路|121.3760902|24.9496392|NTPC|C|OSM
C-NTPC-OSM-2383857796|館前路　文化路|121.3527288|24.9496556|NTPC|C|OSM
C-NTPC-OSM-13818880553|雙城路　雙城便道|121.4926385|24.9498714|NTPC|C|OSM
C-NTPC-OSM-315535942|中央路四段　龍泉路|121.4093249|24.9499530|NTPC|C|OSM
C-NTPC-OSM-9404139401|尖山埔路　鶯桃路|121.3445229|24.9502287|NTPC|C|OSM
C-NTPC-OSM-4458505705|館前路　環河路|121.3540642|24.9502659|NTPC|C|OSM
C-NTPC-OSM-315535941|中央路四段　福田路|121.4098982|24.9503861|NTPC|C|OSM
C-NTPC-OSM-13818919246|玫瑰路　前方號誌|121.4944182|24.9506009|NTPC|C|OSM
C-NTPC-OSM-2412154468|柑園街二段203巷　大義路|121.3756469|24.9506206|NTPC|C|OSM
C-NTPC-OSM-13999633072|尖山埔路　前方號誌|121.3458491|24.9507715|NTPC|C|OSM
C-NTPC-OSM-13999633071|尖山埔路　前方號誌|121.3463732|24.9509927|NTPC|C|OSM
C-NTPC-OSM-315535940|中央路四段　中央路四段321巷|121.4103974|24.9511203|NTPC|C|OSM
C-NTPC-OSM-13818919226|玫瑰路　安一路三段|121.4941050|24.9512397|NTPC|C|OSM
C-NTPC-OSM-288777481|北宜路二段　北宜路二段56巷|121.5492920|24.9514669|NTPC|C|OSM
C-NTPC-OSM-9404139409|建國路　鶯桃路|121.3423023|24.9514838|NTPC|C|OSM
C-NTPC-OSM-1223954114|北宜路一段　北宜路二段|121.5475526|24.9520431|NTPC|C|OSM
C-NTPC-OSM-292781168|北宜路二段　竹林路|121.5500619|24.9520490|NTPC|C|OSM
C-NTPC-OSM-13823413331|安一路三段　前方號誌|121.4957637|24.9521389|NTPC|C|OSM
C-NTPC-OSM-9404139405|建國路　建國橋|121.3439109|24.9522284|NTPC|C|OSM
C-NTPC-OSM-13818919273|安康路三段　玫瑰路|121.4925241|24.9522637|NTPC|C|OSM
C-NTPC-OSM-2411771614|大義路　柑園街二段|121.3749522|24.9525593|NTPC|C|OSM
C-NTPC-OSM-282285788|文化路　前方號誌|121.3525992|24.9525609|NTPC|C|OSM
C-NTPC-OSM-13823413323|安祥路　安一路二段|121.4958898|24.9525900|NTPC|C|OSM
C-NTPC-OSM-2383857862|館前路　前方號誌|121.3564665|24.9528362|NTPC|C|OSM
C-NTPC-OSM-1138438588|建國路　育智路|121.3455928|24.9529617|NTPC|C|OSM
C-NTPC-OSM-1223963141|北宜路一段　新店路|121.5405686|24.9532648|NTPC|C|OSM
C-NTPC-OSM-9404141642|建國路　育英街|121.3469248|24.9533956|NTPC|C|OSM
C-NTPC-OSM-9532043039|北宜路二段　前方號誌|121.5639995|24.9534362|NTPC|C|OSM
C-NTPC-OSM-510826587|華城路　青山路|121.5260330|24.9535872|NTPC|C|OSM
C-NTPC-OSM-282285765|建國路　國慶街|121.3507487|24.9537034|NTPC|C|OSM
C-NTPC-OSM-9532043045|北宜路二段　明山路|121.5629927|24.9537296|NTPC|C|OSM
C-NTPC-OSM-2828146950|中央路四段　中央路四段410巷|121.4124027|24.9538406|NTPC|C|OSM
C-NTPC-OSM-13826001973|安一路二段　安豐路|121.4998446|24.9538481|NTPC|C|OSM
C-NTPC-OSM-292781172|北宜路二段　前方號誌|121.5621945|24.9538727|NTPC|C|OSM
C-NTPC-OSM-13820270805|安祥路　安康路三段|121.4941673|24.9540148|NTPC|C|OSM
C-NTPC-OSM-282282393|鶯桃路　鶯桃路95巷|121.3390964|24.9540528|NTPC|C|OSM
C-NTPC-OSM-1138427079|育英街　南雅路|121.3469077|24.9540578|NTPC|C|OSM
C-NTPC-OSM-282285747|中正一路　建國路|121.3523387|24.9540715|NTPC|C|OSM
C-NTPC-OSM-1470557426|車子路　安一路二段|121.5047699|24.9541548|NTPC|C|OSM
C-NTPC-OSM-2171127664|安康路二段　前方號誌|121.4945608|24.9543153|NTPC|C|OSM
C-NTPC-OSM-288777418|北宜路二段　前方號誌|121.5607200|24.9543228|NTPC|C|OSM
C-NTPC-OSM-2828146917|中央路四段　中央路四段271巷|121.4128448|24.9544525|NTPC|C|OSM
C-NTPC-OSM-3581073805|安一路二段　安忠路|121.5092995|24.9545888|NTPC|C|OSM
C-NTPC-OSM-244379763|八德路　德昌二街|121.3326326|24.9546273|NTPC|C|OSM
C-NTPC-OSM-13999633095|國慶街　行政路|121.3501588|24.9548699|NTPC|C|OSM
C-NTPC-OSM-9404141620|永明街　鶯桃路|121.3382565|24.9550735|NTPC|C|OSM
C-NTPC-OSM-2203268876|北宜路一段　北宜路一段105巷|121.5392333|24.9551988|NTPC|C|OSM
C-NTPC-OSM-2383857880|館前路　前方號誌|121.3590976|24.9552074|NTPC|C|OSM
C-NTPC-OSM-9857493648|鶯桃路　鶯桃路170巷|121.3371873|24.9552851|NTPC|C|OSM
C-NTPC-OSM-10632647652|安一路一段　安忠路|121.5100832|24.9553925|NTPC|C|OSM
C-NTPC-OSM-2203268855|北宜路一段105巷4弄　能仁街|121.5407053|24.9554492|NTPC|C|OSM
C-NTPC-OSM-2577920729|仁愛路　前方號誌|121.3542985|24.9556106|NTPC|C|OSM
C-NTPC-OSM-2155605528|華城路　華城路36巷|121.5284164|24.9557480|NTPC|C|OSM
C-NTPC-OSM-9404141630|國華路　光明街|121.3428869|24.9557544|NTPC|C|OSM
C-NTPC-OSM-2828144976|中央路四段　溪頭路|121.4138535|24.9558424|NTPC|C|OSM
C-NTPC-OSM-1138426987|光明街　育英街|121.3468648|24.9558457|NTPC|C|OSM
C-NTPC-OSM-6253895255|中央路四段125巷　福寧街|121.4179243|24.9558549|NTPC|C|OSM
C-NTPC-OSM-1956837993|佳園路三段　柑園街二段|121.3884632|24.9558703|NTPC|C|OSM
C-NTPC-OSM-1138393383|行政路　中正一路|121.3521523|24.9558798|NTPC|C|OSM
C-NTPC-OSM-13999633052|國慶街　光明街|121.3495393|24.9558887|NTPC|C|OSM
C-NTPC-OSM-1490728052|安祥路　祥和路|121.4913523|24.9560730|NTPC|C|OSM
C-NTPC-OSM-13734623604|新北市　前方號誌|121.3587669|24.9561642|NTPC|C|OSM
C-NTPC-OSM-1138404673|仁愛路　行政路|121.3538130|24.9561782|NTPC|C|OSM
C-NTPC-OSM-3399715717|柑園街一段　佳園路二段|121.3896187|24.9562093|NTPC|C|OSM
C-NTPC-OSM-2828144942|中央路四段　中洲路3巷31弄|121.4142597|24.9562719|NTPC|C|OSM
C-NTPC-OSM-2084452579|中央路四段125巷　中央路四段185巷|121.4175175|24.9562860|NTPC|C|OSM
C-NTPC-OSM-13077642714|中正一路　建德巷|121.3647387|24.9565564|NTPC|C|OSM
C-NTPC-OSM-1223963276|文中路　能仁街|121.5404313|24.9565599|NTPC|C|OSM
C-NTPC-OSM-2085383295|柑園街一段　西圳街一段203巷|121.3954855|24.9565629|NTPC|C|OSM
C-NTPC-OSM-315535935|中洲路　中央路四段|121.4150584|24.9568100|NTPC|C|OSM
C-NTPC-OSM-13077642704|中正一路　前方號誌|121.3589120|24.9569578|NTPC|C|OSM
C-NTPC-OSM-9404141634|中山高架橋　中山路|121.3428994|24.9569724|NTPC|C|OSM
C-NTPC-OSM-1872792429|安康路二段　薏仁坑路|121.5004890|24.9569859|NTPC|C|OSM
C-NTPC-OSM-9404141638|中山路　中山路329巷|121.3435915|24.9569919|NTPC|C|OSM
C-NTPC-OSM-1223963143|文中路　北宜路一段|121.5382595|24.9569921|NTPC|C|OSM
C-NTPC-OSM-1138393375|中正一路　中山路|121.3534953|24.9569985|NTPC|C|OSM
C-NTPC-OSM-3066121319|中山路　中山路249巷|121.3457549|24.9570007|NTPC|C|OSM
C-NTPC-OSM-1098320683|中山路　國慶街|121.3497517|24.9570339|NTPC|C|OSM
C-NTPC-OSM-1138393385|中正一路　建國路|121.3572194|24.9570409|NTPC|C|OSM
C-NTPC-OSM-1470557454|安忠路　安忠路92巷|121.5111665|24.9572393|NTPC|C|OSM
C-NTPC-OSM-2176869585|安豐路　安康路二段|121.5019806|24.9573814|NTPC|C|OSM
C-NTPC-OSM-2084452594|中央路四段125巷　中央路四段|121.4162548|24.9576287|NTPC|C|OSM
C-NTPC-OSM-1223597626|北宜路一段　中興路一段|121.5381488|24.9578134|NTPC|C|OSM
C-NTPC-OSM-3359676257|薏仁坑路　前方號誌|121.5003786|24.9578337|NTPC|C|OSM
C-NTPC-OSM-13850514198|安一路一段　安捷路|121.5150760|24.9579132|NTPC|C|OSM
C-NTPC-OSM-2006623239|德昌二街　永吉街46巷|121.3333379|24.9580073|NTPC|C|OSM
C-NTPC-OSM-13831329580|車子路　安康路二段|121.5048053|24.9580144|NTPC|C|OSM
C-NTPC-OSM-1098320771|中山高架橋　前方號誌|121.3403698|24.9581043|NTPC|C|OSM
C-NTPC-OSM-3767104371|華城路　華城街10巷|121.5292517|24.9582214|NTPC|C|OSM
C-NTPC-OSM-4951874760|安康路二段　前方號誌|121.5074560|24.9583488|NTPC|C|OSM
C-NTPC-OSM-3636212732|鶯桃路　中山高架橋|121.3381675|24.9583626|NTPC|C|OSM
C-NTPC-OSM-1955036374|中興路一段　北宜路一段39巷|121.5384909|24.9583758|NTPC|C|OSM
C-NTPC-OSM-2735584118|中正一路　阿四巷|121.3704211|24.9584641|NTPC|C|OSM
C-NTPC-OSM-2679762068|中央路四段　福田路|121.4176474|24.9585780|NTPC|C|OSM
C-NTPC-OSM-1470557469|安忠路　安忠路84巷|121.5120344|24.9586080|NTPC|C|OSM
C-NTPC-OSM-7658902144|中正一路　前方號誌|121.3713534|24.9587065|NTPC|C|OSM
C-NTPC-OSM-2176853682|安德街　安康路二段|121.5087148|24.9588380|NTPC|C|OSM
C-NTPC-OSM-1223597791|新店路　北新路一段|121.5379948|24.9589445|NTPC|C|OSM
C-NTPC-OSM-4425593941|鶯桃路　鶯桃路206巷|121.3371191|24.9589671|NTPC|C|OSM
