# id|region|road_class|structure|name|ref|layer|lat1|lon1|lat2|lon2|oneway|maxspeed
# Official open-data overlay; generated by tools/build_special_roads_open_data.py.
# Sources: Taipei bridges/vehicle underpasses + New Taipei bridges; collected 2026-09-22.
OFF-NTPC-BRIDGE-646-0|NTPC|URBAN|RAMP|華中橋中和端匝道|646|1|25.0063670|121.4942830|25.0075020|121.4952960||
OFF-NTPC-BRIDGE-698-0|NTPC|URBAN|RAMP|重新大橋B匝道橋|698|1|25.0522428|121.4854244|25.0514780|121.4842150||
OFF-NTPC-BRIDGE-700-0|NTPC|URBAN|RAMP|重新大橋E匝道橋|700|1|25.0525838|121.4851544|25.0517224|121.4840880||
OFF-NTPC-BRIDGE-701-0|NTPC|URBAN|RAMP|重新大橋C匝道橋|701|1|25.0520195|121.4863608|25.0514020|121.4842190||
OFF-NTPC-BRIDGE-702-0|NTPC|URBAN|RAMP|重新大橋F匝道橋|702|1|25.0526626|121.4855623|25.0517405|121.4840160||
OFF-NTPC-BRIDGE-743-0|NTPC|URBAN|RAMP|浮洲橋A匝道|743|1|24.9955740|121.4335710|24.9954303|121.4350166||
OFF-NTPC-BRIDGE-744-0|NTPC|URBAN|RAMP|浮洲橋B匝道|744|1|24.9957960|121.4336030|24.9956100|121.4350390||
OFF-NTPC-BRIDGE-745-0|NTPC|URBAN|RAMP|大漢橋A匝道|745|1|25.0384720|121.4607350|25.0372860|121.4611790||
OFF-NTPC-BRIDGE-746-0|NTPC|URBAN|RAMP|大漢橋B匝道|746|1|25.0382900|121.4605630|25.0372290|121.4610250||
OFF-NTPC-BRIDGE-747-0|NTPC|URBAN|RAMP|浮洲橋C匝道|747|1|24.9989431|121.4423623|24.9953196|121.4391535||
OFF-NTPC-BRIDGE-748-0|NTPC|URBAN|RAMP|中興大橋J匝道|748|1|25.0495850|121.4902610|25.0488265|121.4924271||
OFF-NTPC-BRIDGE-749-0|NTPC|URBAN|RAMP|中興大橋I匝道|749|1|25.0507880|121.4916050|25.0491619|121.4924844||
OFF-NTPC-BRIDGE-752-0|NTPC|URBAN|RAMP|秀朗橋匝道1|752|1|24.9904660|121.5322250|24.9895590|121.5289220||
OFF-NTPC-BRIDGE-753-0|NTPC|URBAN|RAMP|秀朗橋匝道2|753|1|24.9894540|121.5284450|24.9904660|121.5322250||
OFF-NTPC-BRIDGE-754-0|NTPC|URBAN|RAMP|秀朗橋匝道3|754|1|24.9891480|121.5293290|24.9878760|121.5294550||
OFF-NTPC-BRIDGE-755-0|NTPC|URBAN|RAMP|秀朗橋匝道4(機車專用)|755|1|24.9890360|121.5308500|24.9900210|121.5273220||
OFF-NTPC-BRIDGE-756-0|NTPC|URBAN|RAMP|秀朗橋匝道5(機車專用)|756|1|24.9898420|121.5273060|24.9888500|121.5307860||
OFF-NTPC-BRIDGE-757-0|NTPC|URBAN|RAMP|成蘆大橋C匝道|757|1|25.0956230|121.4590390|25.0926530|121.4577570||
OFF-NTPC-BRIDGE-758-0|NTPC|URBAN|RAMP|成蘆大橋D匝道|758|1|25.0965850|121.4603030|25.0962050|121.4590540||
OFF-NTPC-BRIDGE-980-0|NTPC|URBAN|RAMP|永安大橋-匝道5|980|1|25.0800740|121.4501310|25.0802490|121.4510830||
OFF-NTPC-BRIDGE-981-0|NTPC|URBAN|RAMP|永安大橋-匝道6|981|1|25.0796950|121.4506430|25.0799390|121.4511870||
OFF-NTPC-BRIDGE-982-0|NTPC|URBAN|RAMP|永安大橋-匝道D|982|1|25.0835783|121.4555408|25.0814160|121.4545310||
OFF-NTPC-BRIDGE-983-0|NTPC|URBAN|RAMP|永安大橋-匝道E|983|1|25.0811140|121.4546570|25.0807690|121.4563880||
OFF-NTPC-BRIDGE-998-0|NTPC|URBAN|RAMP|往交流道橋(無名橋)|998|1|25.0088510|121.6481370|25.0092510|121.6486310||
OFF-TPE-BRIDGE-D004-0|TPE|URBAN|ELEVATED|舊環南高架|D004|1|25.0491639|121.5060861|25.0395558|121.4976765||
OFF-TPE-BRIDGE-D006-0|TPE|URBAN|ELEVATED|新生高架|D006|1|25.0422000|121.5295917|25.0787265|121.5247300||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|ELEVATED|建國高架橋|D012|1|25.0235400|121.5376360|25.0698270|121.5333680||
OFF-TPE-BRIDGE-D014-0|TPE|URBAN|ELEVATED|大度高架橋|D014|1|25.1231540|121.4679640|25.1233040|121.4661840||
OFF-TPE-BRIDGE-D016-0|TPE|URBAN|ELEVATED|基隆路高架|D016|1|25.0215150|121.5493120|25.0087540|121.5324110||
OFF-TPE-BRIDGE-D020-0|TPE|URBAN|ELEVATED|辛亥高架|D020|1|25.0214920|121.5313900|25.0261300|121.5377220||
OFF-TPE-BRIDGE-D021-0|TPE|URBAN|ELEVATED|水源高架|D021|1|25.0154510|121.5258730|24.9929540|121.5340210||
OFF-TPE-BRIDGE-D021-0|TPE|EXPRESSWAY|ELEVATED|水源高架環道A|D021|1|25.0085231|121.5338900|25.0084131|121.5330486||
OFF-TPE-BRIDGE-D023-0|TPE|URBAN|ELEVATED|新環河高架|D023|1|25.0560176|121.5079446|25.0283270|121.4887316||
OFF-TPE-BRIDGE-D028-0|TPE|URBAN|ELEVATED|市民大道高架橋(主橋)|D028|1|25.0501420|121.5103300|25.0453310|121.5663110||
OFF-TPE-BRIDGE-D030-001-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線1)|D030-001|1|25.0532160|121.5741170|25.0538710|121.5753360||
OFF-TPE-BRIDGE-D030-002L-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線2L)|D030-002L|1|25.0539830|121.5753820|25.0593420|121.5854060||
OFF-TPE-BRIDGE-D030-002R-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線2R)|D030-002R|1|25.0538490|121.5754880|25.0592300|121.5855070||
OFF-TPE-BRIDGE-D030-003-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線3)|D030-003|1|25.0593120|121.5855200|25.0597750|121.5863560||
OFF-TPE-BRIDGE-D030-004-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線4)|D030-004|1|25.0597850|121.5863770|25.0599210|121.5923780||
OFF-TPE-BRIDGE-D030-005-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線5)|D030-005|1|25.0599120|121.5923750|25.0592270|121.5938030||
OFF-TPE-BRIDGE-D030-006-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線6)|D030-006|1|25.0592270|121.5938030|25.0612360|121.6112460||
OFF-TPE-BRIDGE-D030-007-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線7)|D030-007|1|25.0612360|121.6112460|25.0631420|121.6160640||
OFF-TPE-BRIDGE-D030-008-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線8)|D030-008|1|25.0631360|121.6160700|25.0620140|121.6184450||
OFF-TPE-BRIDGE-D030-009L-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線9L)|D030-009L|1|25.0620140|121.6184450|25.0601260|121.6207110||
OFF-TPE-BRIDGE-D030-009R-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線9R)|D030-009R|1|25.0619650|121.6183990|25.0600680|121.6205550||
OFF-TPE-BRIDGE-D030-010-0|TPE|EXPRESSWAY|ELEVATED|環東高架(主線10)|D030-010|1|25.0600790|121.6206270|25.0582890|121.6219920||
OFF-TPE-BRIDGE-D033-1-0|TPE|URBAN|ELEVATED|洲美高架橋(跨越基隆河段)|D033-1|1|25.0954286|121.4972040|25.1002552|121.4986529||
OFF-TPE-BRIDGE-D033-3-0|TPE|URBAN|ELEVATED|洲美高架橋(磺港溪至大業路段)|D033-3|1|25.1121281|121.4985032|25.1213992|121.4952852||
OFF-TPE-BRIDGE-D033-4-0|TPE|EXPRESSWAY|ELEVATED|洲美高架橋(福國路延伸工程)|D033-4|1|25.1012090|121.5024890|25.1012830|121.5043630||
OFF-TPE-BRIDGE-D035-0|TPE|URBAN|ELEVATED|信義聯絡高架(二)|D035|1|25.0215589|121.5777451|25.0223950|121.5772540||
OFF-TPE-BRIDGE-D035-0|TPE|URBAN|ELEVATED|信義聯絡高架(三)|D035|1|25.0216853|121.5772462|25.0222880|121.5770040||
OFF-TPE-BRIDGE-599-0|TPE|URBAN|RAMP|重陽橋匝道B||1|25.0854760|121.5050230|25.0836110|121.5067550||
OFF-TPE-BRIDGE-600-0|TPE|URBAN|RAMP|重陽橋匝道A||1|25.0874180|121.5042260|25.0855360|121.5046630||
OFF-TPE-BRIDGE-D006A-0|TPE|URBAN|RAMP|新生高架(匝道A)|D006A|1|25.0446267|121.5301876|25.0456110|121.5304780||
OFF-TPE-BRIDGE-D006B-0|TPE|URBAN|RAMP|新生高架(匝道B)|D006B|1|25.0446354|121.5304083|25.0455543|121.5306798||
OFF-TPE-BRIDGE-D006C-0|TPE|URBAN|RAMP|新生高架(匝道C)|D006C|1|25.0476378|121.5300735|25.0471125|121.5306617||
OFF-TPE-BRIDGE-D006D-0|TPE|URBAN|RAMP|新生高架(匝道D)|D006D|1|25.0466846|121.5310382|25.0476383|121.5304425||
OFF-TPE-BRIDGE-D006E-0|TPE|URBAN|RAMP|新生高架(匝道E)|D006E|1|25.0509770|121.5279280|25.0493000|121.5287440||
OFF-TPE-BRIDGE-D006F-0|TPE|URBAN|RAMP|新生高架(匝道F)|D006F|1|25.0496481|121.5287705|25.0508587|121.5282044||
OFF-TPE-BRIDGE-D006G-0|TPE|URBAN|RAMP|新生高架(匝道G)|D006G|1|25.0555948|121.5274624|25.0564510|121.5274674||
OFF-TPE-BRIDGE-D006H-0|TPE|URBAN|RAMP|新生高架(匝道H)|D006H|1|25.0553569|121.5276040|25.0569039|121.5277536||
OFF-TPE-BRIDGE-D006I-0|TPE|URBAN|RAMP|新生高架(匝道I)|D006I|1|25.0671457|121.5277277|25.0663362|121.5277582||
OFF-TPE-BRIDGE-D006J-0|TPE|URBAN|RAMP|新生高架(匝道J)|D006J|1|25.0636396|121.5279211|25.0646513|121.5278734||
OFF-TPE-BRIDGE-D006K-0|TPE|URBAN|RAMP|新生高架(匝道K)|D006K|1|25.0710357|121.5277933|25.0719002|121.5272279||
OFF-TPE-BRIDGE-D006L-0|TPE|URBAN|RAMP|新生高架(匝道L)|D006L|1|25.0690454|121.5279912|25.0701362|121.5280149||
OFF-TPE-BRIDGE-D006N-0|TPE|URBAN|RAMP|新生高架(匝道N)|D006N|1|25.0744519|121.5260581|25.0739231|121.5258545||
OFF-TPE-BRIDGE-D008-0|TPE|URBAN|RAMP|水源堤防道路匝道E - 師大路|D008|1|25.0207055|121.5239048|25.0203237|121.5224459||
OFF-TPE-BRIDGE-D008-0|TPE|URBAN|RAMP|水源堤防道路匝道D - 中正橋|D008|1|25.0214850|121.5166113|25.0211282|121.5182201||
OFF-TPE-BRIDGE-D008-0|TPE|URBAN|RAMP|水源堤防道路匝道A - 華中橋水門右轉|D008|1|25.0161514|121.4967978|25.0161551|121.4975020||
OFF-TPE-BRIDGE-D008-0|TPE|URBAN|RAMP|水源堤防道路匝道B - 果菜市場棧橋|D008|1|25.0163565|121.4967500|25.0163681|121.4974216||
