# id|type|lat|lon|title|detail|direction|limit
TP-S-61|RED_LIGHT|25.02778920|121.51582860|闖紅燈照相|重慶南路3段 和平西路口|北向南|50
TP-S-62|SPEED|25.02918210|121.51180000|測速照相|和平西路 寧波西街口|西向東|50
TP-S-63|SPEED|25.05794115|121.55185240|測速照相|民生東路4段 97巷口|西向東|50
TP-S-64|SPEED|25.06684145|121.54431020|測速照相|復興北路 車行地下道南出口處|北向南|40
TP-S-65|SPEED|25.05426405|121.56563560|測速照相|健康路300號前|東西雙向|50
TP-S-66|SPEED|25.06200353|121.56849990|測速照相|塔悠路 近撫遠街261巷口|北向南|50
TP-S-67|SPEED|25.06210619|121.55746550|測速照相|民權東路4段 民權公園前|東西雙向|50
TP-S-68|SPEED|25.05169217|121.55303660|測速照相|南京東路4段 健康路口|東西雙向|50
TP-S-69|RED_LIGHT|25.04785991|121.54894740|闖紅燈照相|敦化南路 八德路口|南往北|50
TP-S-70|RED_LIGHT|25.06287430|121.56337100|闖紅燈照相|民權東路4段 三民路口|東向西|50
TP-S-71|SPEED|25.04762719|121.56397230|測速照相|市民大道5段50號前 近東寧路口|西向東|50
TP-S-72|SPEED|25.04131564|121.55988270|測速照相|忠孝東路4段 近逸仙路口|東西雙向|50
TP-S-73|SPEED|25.02906139|121.55730870|測速照相|基隆路二段109號前|南往北|50
TP-S-74|SPEED|25.04768719|121.56849520|測速照相|基隆路1段49號前|南向北|50
TP-S-75|SPEED|25.04562590|121.57244540|測速照相|永吉路 松信路口|東向西|50
TP-S-76|RED_LIGHT|25.03614952|121.56835500|闖紅燈照相|松仁路 松壽路口|北向南|50
TP-S-77|RED_LIGHT|25.03620119|121.56133520|闖紅燈照相|基隆路 松壽路口|北向南|50
TP-S-78|RED_LIGHT|25.03577554|121.55748870|闖紅燈照相|光復南路 456巷口|北向南|50
TP-S-79|SPEED|25.08245929|121.50737190|測速照相|環河北路3段 葫蘆街口|南向北|50
TP-S-80|SPEED|25.10824082|121.54601870|測速照相|仰德大道2段 115巷口|下山方向|40
TP-S-81|SPEED|25.13206152|121.54645550|測速照相|仰德大道4段75號 格致中學前|上下山雙向|40
TP-S-82|SPEED|25.08651629|121.52298660|測速照相|承德路4段 百齡高中前|南向北|50
TP-S-83|SPEED|25.10405783|121.54250430|測速照相|仰德大道2段 29巷口|下山方向|40
TP-S-84|SPEED|25.07897186|121.50825960|測速照相|環河北路2段 近敦煌路口|北向南|60
TP-S-85|SPEED|25.08035547|121.52221580|測速照相|承德路4段 通河街口|北向南|50
TP-S-86|SPEED|25.08986347|121.51818260|測速照相|承德路4段 福港街口|北往南|50
TP-S-87|SPEED|25.11988210|121.55297410|測速照相|仰德大道3段 陽明山國小前|往下山方向|40
TP-S-88|RED_LIGHT|25.09323000|121.51983120|闖紅燈照相|中正路 基河路口|西向東|50
TP-S-89|RED_LIGHT|25.08707284|121.51120720|闖紅燈照相|中正路 重慶北路口|西向東|50
TP-S-90|RED_LIGHT|25.08998891|121.52757280|闖紅燈照相|中山北路5段378巷 消防隊前|南向北|50
TP-S-91|SPEED|25.09615680|121.52776940|測速照相|中山北路5段 中正路口|北向南|50
TP-S-92|RED_LIGHT|25.07951372|121.52453340|闖紅燈照相|中山北路4段 通河街口|南向北|\
TP-S-93|SPEED|25.13483514|121.52867910|測速照相|行義路241號前|北向南|40
TP-S-94|SPEED|25.16491378|121.54371910|測速照相|竹子湖路2-2號對面 陽金公路53號燈桿後方|往臺北市區|40
TP-S-95|SPEED|25.10519124|121.51193660|測速照相|承德路6段|北向南|60
TP-S-96|SPEED|25.10799039|121.49878190|測速照相|洲美快速道路(南向避車彎處)|北向南|80
TP-S-97|SPEED|25.10394721|121.51208880|測速照相|承德路6段|南往北|60
TP-S-98|SPEED|25.10597159|121.49896470|測速照相|洲美快速道路(北向避車彎處)|南向北|80
TP-S-99|SPEED|25.13033974|121.49673850|測速照相|大業路412號前|南向北|60
TP-S-100|SPEED|25.12242044|121.47775810|測速照相|大度路 往台北方向|北向南|70
TP-S-101|SPEED|25.12239283|121.48036090|測速照相|大度路 往淡水方向|南向北|70
TP-S-102|SPEED|25.13011342|121.46591060|測速照相|學園路(往關渡) 臺北藝術大學大門口|下山方向|40
TP-S-103|SPEED|25.11441174|121.50251110|測速照相|立賢路101號前|南往北|50
TP-S-104|RED_LIGHT|25.11760608|121.50363230|闖紅燈照相|承德路7段 吉利街口|北向南|60
TP-S-105|RED_LIGHT|25.10638054|121.51630870|闖紅燈照相|文林北路 明德路口|北向南|50
TP-S-106|RED_LIGHT|25.12158936|121.49939920|闖紅燈照相|大度路 大業路口|北向南|50
TP-S-107|SPEED|25.00894152|121.58117190|測速照相|信義快速道路 文山隧道往南出口處|北向南|70
TP-S-108|SPEED|24.99909565|121.59139570|測速照相|木柵路5段近100之1號|西向東|50
TP-S-109|SPEED|24.99169061|121.55147900|測速照相|辛亥路6段 懷恩隧道出口處（往木柵）|北向南|50
TP-S-110|SPEED|24.99930460|121.53525200|測速照相|水源快速道路 下(離開水快)景福匝道口(上層)(水南)|北向南|60
TP-S-111|SPEED|24.99258379|121.54072110|測速照相|羅斯福路6段226號前|北向南|50
TP-S-112|SPEED|25.00975260|121.55737350|測速照相|辛亥路4段 辛亥隧道出口|北向南|50
TP-S-113|SPEED|25.00150067|121.53911580|測速照相|羅斯福路5段 240號前(近興隆路口)|北向南|50
TP-S-114|SPEED|24.98975499|121.53966290|測速照相|羅斯福路6段 469巷口(近育英街口)|南向北|50
TP-S-115|RED_LIGHT|24.98503531|121.55405910|闖紅燈照相|辛亥路7段 光輝路50巷口|北向南|50
TP-S-116|RED_LIGHT|24.98669111|121.54578830|闖紅燈照相|木柵路1段 和興路口|西向東|50
TP-S-117|RED_LIGHT|25.00307399|121.58440650|闖紅燈照相|木柵路5段 萬福橋頭|東向西|50
TP-S-118|SPEED|25.05418829|121.61327040|測速照相|市民大道8段 東南街口|東向西|50
TP-S-119|SPEED|25.05263792|121.61154780|測速照相|忠孝東路7段511號前|西向東|50
TP-S-120|SPEED|25.05099680|121.59179640|測速照相|市民大道7段 近昆陽街口|東往西|50
TP-S-121|SPEED|25.05737620|121.61401940|測速照相|三重路19-5號前|北向南|50
TP-S-122|SPEED|25.04997103|121.58623400|測速照相|市民大道7段 東新街  往東約100公尺處(忠孝東路6段159巷口)|西向東|50
TP-S-123|SPEED|25.05393791|121.61233790|測速照相|市民大道8段500號前|西往東|50
TP-S-124|SPEED|25.04878190|121.58684390|測速照相|忠孝東路6段 159巷口|東向西|50
TP-S-125|SPEED|25.07784255|121.60024070|測速照相|金湖路200號前|南向北|50
TP-S-126|SPEED|25.07845548|121.58094480|測速照相|文德路 66巷口|西向東|50
TP-S-127|SPEED|25.05977875|121.58637780|測速照相|環東大道 南京東路6段368巷口上方|東向西|80
TP-S-128|SPEED|25.05339912|121.57853840|測速照相|潭美街 新明路460巷|西向東|40
TP-S-129|SPEED|25.06103681|121.58329530|測速照相|行善路233號前|西向東|50
TP-S-130|SPEED|25.07465666|121.58999190|測速照相|成功路2段373號前|北向南|50
TP-S-131|SPEED|25.08177943|121.57005680|測速照相|內湖路1段324號前|西向東|50
TP-S-132|SPEED|25.08303808|121.60409060|測速照相|成功路5段 152巷口|西向東|50
TP-S-133|SPEED|25.07128214|121.60423940|測速照相|民權東路6段 423巷口|東向西|50
TP-S-134|SPEED|25.05615590|121.58562360|測速照相|潭美街223號對面|東西雙向|40
TP-S-135|SPEED|25.06679101|121.59969610|測速照相|民權東路6段228號前|西向東|50
TP-S-136|RED_LIGHT|25.07356672|121.57942240|闖紅燈照相|瑞光路199號前 近陽光街口|南向北|50
TP-S-137|RED_LIGHT|25.06581593|121.59049260|闖紅燈照相|成功路2段 250巷口|往內湖方向|50
TP-S-138|RED_LIGHT|25.08647666|121.56923190|闖紅燈照相|環山路1段 136巷口|東向西|50
TP-S-139|RED_LIGHT|25.08334131|121.56324050|闖紅燈照相|內湖路1段 120巷|西向東|50
TP-S-140|RED_LIGHT|25.05560475|121.57888210|闖紅燈照相|南京東路6段 新明路426巷口|西向東|40
TP-S-141|RED_LIGHT|25.06908817|121.58803590|闖紅燈照相|民權東路6段 136巷口|西向東|50
TP-S-142|SPEED|25.09060141|121.54925560|測速照相|自強隧道|南北雙向|50
TP-S-143|SPEED|25.01171385|121.55535150|測速照相|辛亥隧道|南北雙向|50
TP-T-1|TECH|25.05049695|121.50816730|科技執法|鄭州路與西寧北路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-2|TECH|25.04876716|121.51641880|科技執法|市民大道與承德路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車||
TP-T-3|TECH|25.06289638|121.51827800|科技執法|民權西路與承德路口；闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-4|TECH|25.06296449|121.51120050|科技執法|民權西路與延平北路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、汽車行駛機車道(上匝)||
TP-T-5|TECH|25.06299261|121.51475370|科技執法|民權西路與蘭州街口；闖紅燈、不依規定轉彎||
TP-T-6|TECH|25.07988903|121.54710610|科技執法|大直街與北安路口；闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車||
TP-T-7|TECH|25.06240029|121.53703160|科技執法|民權東路與建國北路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車||
TP-T-8|TECH|25.04806445|121.52072430|科技執法|市民大道與中山北路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
